tag,description
Work,One artist - One work : Work of art that is Individual
Collective Work,"Multiple artist - One work : A collective work of art, that is to say involving many artists and resulting in what can be identified as one work (i.e. Pepsi Pavilion) "
Project,Multiple Artists - Multiple works : A collective activity involving a multidisciplinary team outside art
Service,Services and Assistance (i.e. Technical Services)
Lecture,Event
Demonstration,Event
Exhibition,Event
Press Conference,Event
Meeting,"Event (professional meetings : summit, loft meetings, etc.)"
Publication,Editing and Publishing Activities
Preservation,Preserving archives (i.e. 9 evenings Film Preservation)
Festival