"tag","description"
"Media",
"Television",
"Video tape",
"Electronic video recording",
"Film",
"Radio",
"Tape recording",
"Photography",
"Printing",
"Imaging systems",
"Sound",
"Telephone",
"Microphone",
"Receiver",
"Acoustics",
"Sound generation",
"Sonar",
"Audio systems",
"Audio-visual conversions",
"Ultrasonics",
"Light",
"Optics",
"Spectroscopy",
"Color theory",
"Mirrors",
"Light equipment",
"Projection",
"Lasers",
"Strobs",
"Holography",
"X-Ray",
"Neon",
"Electro-luminescence",
"Ultra-violet",
"Fiber optics",
"Infrared",
"Phosphorescence",
"Fluorescence",
"Material",
"Plastics",
"Plastics forming techniques",
"Foams",
"Elastomers",
"Adhesives",
"Fiberglass",
"Honeycomb materials",
"Paper",
"Paints",
"Dyes",
"Metals",
"Brazing",
"Welding",
"Casting",
"Grinding",
"Ceramics",
"Glass",
"Liquid",
"Fog",
"Crystals",
"Fabrics/textiles",
"Computer",
"Cybernetics",
"Information Theory",
"Computers: programming/general",
"Computers: graphics/film",
"Computers: language/poetry",
"Computers: sound/music",
"Computers: systems simulation",
"General Fields",
"Electrical engineering",
"Mechanical engineering",
"Chemical engineering",
"Civil/Structural/Indus. engineering",
"Pneumatics",
"Fluidics",
"Hydraulics",
"Aeronautics/Aviation",
"Aerospace",
"Submarine engineering",
"Transport engineering",
"Bio-engineering",
"Medecine",
"Physics",
"Chemistry",
"Mathematics",
"Geology",
"Meteorology",
"Oceanography",
"Geology",
"Sociology",
"Psychology",
"Architecture",
"Urban Planning",
"Scientific journalist/Editor",
"Industrial design",
"Sensors",
"Bio-Sensors",
"Photocells",
"Telecommunication",
"Telex",
"Fax",
"Battery",